"person_id","person_type","crash_record_id","rd_no","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"O1254898","DRIVER","1f3386813c4d4b0a4a9bf63150f1a99b5be54a7686269c09770e17de5bf393b246f00304752acc4b5390da61df21148a97621655fb9be119de09e372c8453cc7","JE493067","1191190","2021-12-30T14:45:00.000",,"CHICAGO","IL","60643","F","28",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"IMPROPER TURN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254899","DRIVER","1f3386813c4d4b0a4a9bf63150f1a99b5be54a7686269c09770e17de5bf393b246f00304752acc4b5390da61df21148a97621655fb9be119de09e372c8453cc7","JE493067","1191202","2021-12-30T14:45:00.000",,"CHICAGO","IL","60619","F","38","IL","D","NONE PRESENT","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254940","DRIVER","e5e9b519b7d911f0c3e4826dd12f75e0d4a6809c835c80bce1d785cf5e6f12c631e65a3aa0f1e81068320be85f8d9585b31674afe04475b9696bd471b485c93a","JE493198","1191225","2021-12-30T14:45:00.000",,"WEST BLOOMFIELD","MI","48322","F",,"MI","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254941","DRIVER","e5e9b519b7d911f0c3e4826dd12f75e0d4a6809c835c80bce1d785cf5e6f12c631e65a3aa0f1e81068320be85f8d9585b31674afe04475b9696bd471b485c93a","JE493198","1191227","2021-12-30T14:45:00.000",,"CHICAGO","IL","60639","F",,"IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280549","PASSENGER","e5e9b519b7d911f0c3e4826dd12f75e0d4a6809c835c80bce1d785cf5e6f12c631e65a3aa0f1e81068320be85f8d9585b31674afe04475b9696bd471b485c93a","JE493198","1191227","2021-12-30T14:45:00.000","3","CHICAGO","IL","60639","M",,,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1254918","DRIVER","5ef4164b98d014aeec33191387e938cff3692e4a3b1f2adefe8b07aca98e23e571aa6f244391ae6639a6389d9cf977bc7ada04bb6befeec0c51dadc7eb8cb9d9","JE493014","1191206","2021-12-30T14:30:00.000",,"CHICAGO","IL","60171","M","73","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1254919","DRIVER","5ef4164b98d014aeec33191387e938cff3692e4a3b1f2adefe8b07aca98e23e571aa6f244391ae6639a6389d9cf977bc7ada04bb6befeec0c51dadc7eb8cb9d9","JE493014","1191219","2021-12-30T14:30:00.000",,"MELROSE PARK","IL","60164","F","29","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NONINCAPACITATING INJURY","COMMUNITY FIRST","7",,"NONE","NOT OBSCURED","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254938","DRIVER","8475fc0426a2e02d9723a791827792fe47cbba3a9edf25aeba8f35d2603ec8199c755884733e329158544a402a11bbeb4368b0911a925155ec8965f2e57b2098","JE493197","1191226","2021-12-30T14:25:00.000",,"CHICAGO","IL","60636","F","45","IL","C","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"P280548","PASSENGER","8475fc0426a2e02d9723a791827792fe47cbba3a9edf25aeba8f35d2603ec8199c755884733e329158544a402a11bbeb4368b0911a925155ec8965f2e57b2098","JE493197","1191226","2021-12-30T14:25:00.000","3","CHICAGO","IL","60628","M","30",,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1254844","DRIVER","d3accda38e6e653844fec0aeaca60e7565b7d7ca351d69a5b5c9552ad82f5394d53f56851c6539092e711aff1b7d5daef712ed32eea10710e2f481e3b68044c5","JE493011","1191132","2021-12-30T14:20:00.000",,"CHICAGO","IL","60632","M","40","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254845","DRIVER","d3accda38e6e653844fec0aeaca60e7565b7d7ca351d69a5b5c9552ad82f5394d53f56851c6539092e711aff1b7d5daef712ed32eea10710e2f481e3b68044c5","JE493011","1191135","2021-12-30T14:20:00.000",,"CHICAGO","IL","60632","F","48","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254910","DRIVER","0edbe853b412c84f68e74ae66fa8da88cdb3b0c14774d3f57376612411c8e7f95e1346bd1e8cc5fced2f13c4437b0bc119397ad548b530ec141434033840575f","JE493163","1191188","2021-12-30T14:00:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254852","DRIVER","3a45b18d31470425dbb45d1ba590199c56b54498e014ec4d96d7b399122f0b59bc362a5b2b9c8ffc2db327f26fda60f3558693f42ed42fcdfd8e639a93ab55b8","JE493026","1191143","2021-12-30T14:00:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1273121","DRIVER","74008b9635334aab0531f29e946deda9a75baedd9c3724b4e1675eb1bdfb69af49da2faf4e51b07728a5d83f8afe7c2b0a796de999dc45f163f80e93546ccf30","JE493269","1208645","2021-12-30T14:00:00.000",,"WHITING","IN",,"F","19","IN",,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST REFUSED",,
"O1273122","DRIVER","74008b9635334aab0531f29e946deda9a75baedd9c3724b4e1675eb1bdfb69af49da2faf4e51b07728a5d83f8afe7c2b0a796de999dc45f163f80e93546ccf30","JE493269","1208646","2021-12-30T14:00:00.000",,"CHICAGO","IL","60619","M","62",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST REFUSED",,
"O1254904","DRIVER","fb81c16dc79781ba60104f0895f4e2c8a21aa6e393eba34e1fc1dc69f6a572fbf0b492483e3ea878b7c1e025bcf301af694843c912a22254ae1e8060695a5072","JE493084","1191199","2021-12-30T14:00:00.000",,"CHICAGO","IL","60609","M","21","MO","F","USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254905","DRIVER","fb81c16dc79781ba60104f0895f4e2c8a21aa6e393eba34e1fc1dc69f6a572fbf0b492483e3ea878b7c1e025bcf301af694843c912a22254ae1e8060695a5072","JE493084","1191210","2021-12-30T14:00:00.000",,"CHICAGO","IL","60617","F","58","IL","D","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","REPORTED, NOT EVIDENT",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"P280544","PASSENGER","fb81c16dc79781ba60104f0895f4e2c8a21aa6e393eba34e1fc1dc69f6a572fbf0b492483e3ea878b7c1e025bcf301af694843c912a22254ae1e8060695a5072","JE493084","1191199","2021-12-30T14:00:00.000","3",,,,"M","14",,,"USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1256738","DRIVER","0897a3ecc55cdfd759cacb25ffe92342e6d2a65a36912169cca4e01815da68e2c3fc7978a0d3f4d69e4db6e39c7a88d4da478c269e2fd71d1030bbaeecd1120b","JF102001","1192912","2021-12-30T13:45:00.000",,"BOLINGBROOK","IL","60440","M","34","IL",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"IMPROPER LANE CHANGE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1256739","DRIVER","0897a3ecc55cdfd759cacb25ffe92342e6d2a65a36912169cca4e01815da68e2c3fc7978a0d3f4d69e4db6e39c7a88d4da478c269e2fd71d1030bbaeecd1120b","JF102001","1192922","2021-12-30T13:45:00.000",,"ELMWOOD PARK","IL","60707","M","39","IL",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254867","DRIVER","397dafac8379700ccd15ef721acdf53b679b0ac2b3e065fdd2dfb6bd743f5728daab671ec8e36a17f4700b4f38489315d9fd61ea8dca7fa90f7192080e86a0cf","JE493077","1191155","2021-12-30T13:45:00.000",,"CHICAGO","IL","60625","X","39","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254868","DRIVER","397dafac8379700ccd15ef721acdf53b679b0ac2b3e065fdd2dfb6bd743f5728daab671ec8e36a17f4700b4f38489315d9fd61ea8dca7fa90f7192080e86a0cf","JE493077","1191158","2021-12-30T13:45:00.000",,"CHICAGO","IL","60619","M","30","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254864","DRIVER","54dc712b174ecba796ef2cf0749c88dd37861a252da99a78f9fbde2d709c65537a468be4249faf0c1fa9f0bd3a52c5723005a0b762f7f7b983af422fe1519829","JE493025","1191153","2021-12-30T13:45:00.000",,"CHICAGO","IL",,"M","59","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"P280542","PASSENGER","54dc712b174ecba796ef2cf0749c88dd37861a252da99a78f9fbde2d709c65537a468be4249faf0c1fa9f0bd3a52c5723005a0b762f7f7b983af422fe1519829","JE493025","1191153","2021-12-30T13:45:00.000","3",,,,,,,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1254842","DRIVER","f90745899c40f7ffee48a3acdbd7fd93c254df5d0be41f58de3fcaf6504b6450ff2ed62f026bd35f75606997016f448b61a78048c785ca819badebaece2b679b","JE492991","1191133","2021-12-30T13:35:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254843","DRIVER","f90745899c40f7ffee48a3acdbd7fd93c254df5d0be41f58de3fcaf6504b6450ff2ed62f026bd35f75606997016f448b61a78048c785ca819badebaece2b679b","JE492991","1191138","2021-12-30T13:35:00.000",,"CHICAGO","IL","60638","F","20","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254865","DRIVER","8faec7bd1361889896f940c0af98cc9c74d827a782eb86dba0fb2f7545ccf862a3f38ac5e5210f187da59a2ecee9a04d9270438186b3e6bfc5d236065e05046c","JE492987","1191197","2021-12-30T13:30:00.000",,"CHICAGO","IL","60621","M","77","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254866","DRIVER","8faec7bd1361889896f940c0af98cc9c74d827a782eb86dba0fb2f7545ccf862a3f38ac5e5210f187da59a2ecee9a04d9270438186b3e6bfc5d236065e05046c","JE492987","1191203","2021-12-30T13:30:00.000",,"CHICAGO","IL","60617","M","50","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1258939","DRIVER","4fe6abc2507d44d5ee4a35ddd7d8d052d17dc882cca59084d147e1d6d0eacfc62e3d2897fc6e5c5ac1a7af2b9e7ca61531db4b326421376d452921669b01fada","JF105903","1195015","2021-12-30T13:25:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1258940","DRIVER","4fe6abc2507d44d5ee4a35ddd7d8d052d17dc882cca59084d147e1d6d0eacfc62e3d2897fc6e5c5ac1a7af2b9e7ca61531db4b326421376d452921669b01fada","JF105903","1195019","2021-12-30T13:25:00.000",,"SOUTHFEILD","MI","48075","M","33","MI",,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P281339","PASSENGER","4fe6abc2507d44d5ee4a35ddd7d8d052d17dc882cca59084d147e1d6d0eacfc62e3d2897fc6e5c5ac1a7af2b9e7ca61531db4b326421376d452921669b01fada","JF105903","1195019","2021-12-30T13:25:00.000","4",,,,"M",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1254831","DRIVER","9a72c74aad8aa30f3c7718373b60c3a1bafc87e0872c4398b96fec4c0bfabaa232489427c985bcb249a24ad4e772904827116d472379191324410348c5669f8f","JE492970","1191122","2021-12-30T13:20:00.000",,"CHICAGO","IL","60608","M","26","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST REFUSED",,
"O1254832","DRIVER","9a72c74aad8aa30f3c7718373b60c3a1bafc87e0872c4398b96fec4c0bfabaa232489427c985bcb249a24ad4e772904827116d472379191324410348c5669f8f","JE492970","1191116","2021-12-30T13:20:00.000",,"CHICAGO","IL","60629","M","65","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254827","DRIVER","46dfa97ade2d813b54ffb368f405361b1b04b2305b966ec20a964b9dacd8b705238930fe28ee6d344bd08d9b405cffe94b8ac9f89729dc85a1e8b0603800fed9","JE492958","1191115","2021-12-30T13:16:00.000",,"WHEELING","IL","60090","M","66","IL",,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254828","DRIVER","46dfa97ade2d813b54ffb368f405361b1b04b2305b966ec20a964b9dacd8b705238930fe28ee6d344bd08d9b405cffe94b8ac9f89729dc85a1e8b0603800fed9","JE492958","1191120","2021-12-30T13:16:00.000",,"CHICAGO","IL","60634","M","20","IL",,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280537","PASSENGER","46dfa97ade2d813b54ffb368f405361b1b04b2305b966ec20a964b9dacd8b705238930fe28ee6d344bd08d9b405cffe94b8ac9f89729dc85a1e8b0603800fed9","JE492958","1191115","2021-12-30T13:16:00.000","3",,,,"F",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1254896","DRIVER","5b0a89c702723d7a602c1bc38b5d8782d2f75d1bed3791a59792b378a17a44c6a97c580abbd32e7da559053c25dbef8805ea6fe039de6d469e3a7b9be8b5a9ad","JE493106","1191181","2021-12-30T13:15:00.000",,"CHICAGO","IL","60604","M","44","IL","D","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254902","DRIVER","6ba17f063fd0fcd4dcbf0f7e8a1978c987a896ea6f0ff6a8d70b49bbf99e8781ce416c69f3be5790df8efd69eb73703b39c61fe63e87412e783a1b5bdc46ccb1","JE493135","1191207","2021-12-30T13:10:00.000",,"CHICAGO","IL","60651","M","25","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER TURN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254903","DRIVER","6ba17f063fd0fcd4dcbf0f7e8a1978c987a896ea6f0ff6a8d70b49bbf99e8781ce416c69f3be5790df8efd69eb73703b39c61fe63e87412e783a1b5bdc46ccb1","JE493135","1191192","2021-12-30T13:10:00.000",,"SHERMAN OAKS","CA","91423","M","36","CA","1","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254829","DRIVER","38a25283b7ff7d12edece6a2fce63cc3517bacb10b8a66c122ddd6a7c09da838b0a079720c480519ad66f5dd0cd663451e8ee55246fa90420fa3849aa8d96941","JE492922","1191124","2021-12-30T13:00:00.000",,"CALUMET PARK","IL","60827","M","22","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1254830","DRIVER","38a25283b7ff7d12edece6a2fce63cc3517bacb10b8a66c122ddd6a7c09da838b0a079720c480519ad66f5dd0cd663451e8ee55246fa90420fa3849aa8d96941","JE492922","1191128","2021-12-30T13:00:00.000",,"CHICAGO","IL","60637","M","25","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1254850","DRIVER","8a57bfc4485e14b37f169d68637f997e893d76a163e9580b5313e917ad83fe0d6753b7a9088ddc4e5a16dacd9a6c099e006613953e8d627e52b41e870f9d711a","JE493020","1191141","2021-12-30T13:00:00.000",,"CHICAGO","IL","60630","F","19","IL","D","SAFETY BELT NOT USED","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254851","DRIVER","8a57bfc4485e14b37f169d68637f997e893d76a163e9580b5313e917ad83fe0d6753b7a9088ddc4e5a16dacd9a6c099e006613953e8d627e52b41e870f9d711a","JE493020","1191144","2021-12-30T13:00:00.000",,"CHICAGO","IL","60656","M","45","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255206","DRIVER","d48662d7045d75337b146547053bd68bb0f1ab42f5e13948ef8a538280b1611fcbcbab9cb7d6bc68dffc18fa69000aabbd94920a86df3cd6269198a74a9a79e4","JE493758","1191474","2021-12-30T13:00:00.000",,"MIDLOTHIAN","IL","60445","F","64","IL",,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255207","DRIVER","d48662d7045d75337b146547053bd68bb0f1ab42f5e13948ef8a538280b1611fcbcbab9cb7d6bc68dffc18fa69000aabbd94920a86df3cd6269198a74a9a79e4","JE493758","1191478","2021-12-30T13:00:00.000",,"OAKLAWN","IL","60453","M","64","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254807","DRIVER","d2eb03c3a136d669ddfcfd6d056200e73307c6dde6dcab293e7957a7e56e09032f8ad724af25aea6db1be245f8f9775c5736ebbbfd99e238ba921b59b679bdb5","JE492929","1191101","2021-12-30T12:50:00.000",,"CHICAGO","IL","60644","F",,"IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254808","DRIVER","d2eb03c3a136d669ddfcfd6d056200e73307c6dde6dcab293e7957a7e56e09032f8ad724af25aea6db1be245f8f9775c5736ebbbfd99e238ba921b59b679bdb5","JE492929","1191097","2021-12-30T12:50:00.000",,"CHICAGO","IL","60624","M","56","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254817","DRIVER","11b634d161679dc57190117dc4d4d0def4369e6671c5ebe48b46ec750dc9595944c79b729eefe0d689456033216710ec88a7be320cad123698fef5e4e3b71049","JE492941","1191112","2021-12-30T12:45:00.000",,"CHICAGO","IL","60619","F","38","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSED",,,"DISREGARDED CONTROL DEVICES","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254818","DRIVER","11b634d161679dc57190117dc4d4d0def4369e6671c5ebe48b46ec750dc9595944c79b729eefe0d689456033216710ec88a7be320cad123698fef5e4e3b71049","JE492941","1191113","2021-12-30T12:45:00.000",,"CHICAGO","IL","60637","M","73","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280536","PASSENGER","11b634d161679dc57190117dc4d4d0def4369e6671c5ebe48b46ec750dc9595944c79b729eefe0d689456033216710ec88a7be320cad123698fef5e4e3b71049","JE492941","1191112","2021-12-30T12:45:00.000","3","CHICAGO","IL","60619","F","34",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1254803","DRIVER","be58aa5759c4f3b8b49b19d2abdedeb7cac0e2596a0459e5d2e35bab796bfa065487b54da55a4d912ee71d863958f0ca1487953f80caad409d4b2890121e7919","JE492912","1191095","2021-12-30T12:30:00.000",,"PLAINFIELD","IL","60585","M","41","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254804","DRIVER","be58aa5759c4f3b8b49b19d2abdedeb7cac0e2596a0459e5d2e35bab796bfa065487b54da55a4d912ee71d863958f0ca1487953f80caad409d4b2890121e7919","JE492912","1191098","2021-12-30T12:30:00.000",,"HINSDALE","IL","60521","M","63","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255176","DRIVER","933f06d710f4fe0a51e896b1edd55ea10b3266f182a48b3e050825e80245ab1fdcf3125e995010d20ab418492a1defd00985de6a95a79a460276fae50cb4841d","JE492867","1191447","2021-12-30T12:15:00.000",,"CHICAGO","IL","60649","F","21","IL",,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255177","DRIVER","933f06d710f4fe0a51e896b1edd55ea10b3266f182a48b3e050825e80245ab1fdcf3125e995010d20ab418492a1defd00985de6a95a79a460276fae50cb4841d","JE492867","1191449","2021-12-30T12:15:00.000",,"CHICAGO","IL","60653","F","56","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254776","DRIVER","99af7b56a5ef2067f543893f8fd14c3c8a900ce80b836aab7ae73793224d585738fa07a5b1212633ec051352923f7103124b5af7d0c17acb22770888ef5ad209","JE492873","1191082","2021-12-30T12:15:00.000",,"CHICAGO","IL","60629","F","84","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","DNA","DNA",,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST REFUSED",,
"O1254777","DRIVER","99af7b56a5ef2067f543893f8fd14c3c8a900ce80b836aab7ae73793224d585738fa07a5b1212633ec051352923f7103124b5af7d0c17acb22770888ef5ad209","JE492873","1191074","2021-12-30T12:15:00.000",,"CHICAGO","IL","60629","F","73","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","DNA","DNA",,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254863","DRIVER","f7a4c2ccfc68f10bc9bd3508c8c0021f1c9ef7c0ee9d58f6554d23a0d9bc481364dd1c557782fc3def2ce13d58e512f06c3d39c202fda4b48e28de4eef826d8d","JE492890","1191154","2021-12-30T12:15:00.000",,"CHICAGO","IL",,"M","58","IL",,"USAGE UNKNOWN","DEPLOYED, FRONT","NONE","REPORTED, NOT EVIDENT",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254822","DRIVER","ecc4d6bd73f72a069efe18a756edf786d527d305b3d42bdac5eac2fc46d3a7c695bac3d9739c4f43d1434fc3464d69cc7eba287f8f5b6189ceed3765d57ae947","JE492869","1191121","2021-12-30T12:02:00.000",,"CHICAGO","IL","60644","M","25","IL","D","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"DISREGARDED CONTROL DEVICES","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254823","DRIVER","ecc4d6bd73f72a069efe18a756edf786d527d305b3d42bdac5eac2fc46d3a7c695bac3d9739c4f43d1434fc3464d69cc7eba287f8f5b6189ceed3765d57ae947","JE492869","1191125","2021-12-30T12:02:00.000",,"CHICAGO","IL","60644","M","29","IL","D","USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","REPORTED, NOT EVIDENT","LORETTO HOSPITAL","15",,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1254802","DRIVER","1b3c9f6897e3c0aa428a16e3bdc1c5ded551f5a5d0982d104b3737ef8ecefd03fadc77451562757c9771e8a59fc5abdd8f2c5eb0ecd31b8ddc16941eaf7f198c","JE492908","1191111","2021-12-30T12:00:00.000",,,,,"F","50","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"IMPROPER TURN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
